𠀀	hē
砿	kuàng
础	chǔ
硁	kēng
硂	quán
硃	zhū
硄	kuāng guāng
硅	guī
硆	è
硇	náo
硈	qià
硉	lù
硊	wěi guì
硋	ài
硌	luò gè
硍	kèn xiàn gǔn yǐn
硎	xíng
硏	yán yàn
硐	dòng
硑	pēng píng
硒	xī
硓	lǎo
硔	hóng
硕	shuò shí
硖	xiá
硗	qiāo
硘	qíng
硙	wéi wèi ái gài
硚	qiáo
硛	ceok
硜	kēng
硝	xiāo
硞	què kè kù
硟	chàn
硠	láng
硡	hōng
硢	yù
硣	xiāo
硤	xiá
硥	mǎng bàng
硦	luò lòng
硧	yǒng tóng
硨	chē
硩	chè
硪	wò
硫	liú
硬	yìng
硭	máng
确	què
硯	yàn
硰	shā
硱	kǔn
硲	yù
硳	ceok
硴	huā
硵	lǔ
硶	chěn
硷	jiǎn
硸	nüè
硹	sōng
硺	zhuó
硻	kēng kěng
硼	péng
硽	yān yǎn
硾	zhuì chuí duǒ
硿	kōng
碀	chēng
碁	qí
碂	zòng cóng
碃	qìng
碄	lín
碅	jūn
碆	bō
碇	dìng
碈	mín
碉	diāo
碊	jiān zhàn
碋	hè
碌	lù liù
碍	ài
碎	suì
碏	què xī
碐	léng
碑	bēi
碒	yín
碓	duì
碔	wǔ
碕	qí
碖	lún lǔn lùn
碗	wǎn
碘	diǎn
碙	náo gāng
碚	bèi
碛	qì
碜	chěn
碝	ruǎn
碞	yán
碟	dié
碠	dìng
碡	zhóu
碢	tuó
碣	jié yà
碤	yīng
碥	biǎn
碦	kè
碧	bì
碨	wěi wèi
碩	shuò shí
碪	zhēn
碫	duàn
碬	xiá
碭	dàng
碮	tí dī
碯	nǎo
碰	pèng
碱	jiǎn
碲	dì
碳	tàn
碴	chá chā
碵	tián
碶	qì
碷	dùn
碸	fēng
碹	xuàn
確	què
碻	què qiāo
碼	mǎ
碽	gōng
碾	niǎn
碿	sù xiè
磀	é
磁	cí
磂	liú liù
磃	sī tí
磄	táng
磅	bàng páng
磆	huá kě gū
磇	pī
磈	kuǐ wěi
磉	sǎng
磊	lěi
磋	cuō
磌	tián
磍	xiá qià yà
磎	xī
磏	lián qiān
磐	pán
磑	ái wèi
磒	yǔn
磓	duī
磔	zhé
磕	kē
磖	lá lā
磗	zhuān
磘	yáo
磙	gǔn
磚	zhuān
磛	chán
磜	qì
磝	áo qiāo
磞	pēng pèng
磟	liù
磠	lǔ
磡	kàn
磢	chuǎng
磣	chěn
磤	yīn yǐn
磥	lěi léi
磦	biāo
磧	qì
磨	mó mò
磩	qì zhú
磪	cuī
磫	zōng
磬	qìng
磭	chuò
磮	lún
磯	jī
磰	shàn
磱	láo luò
磲	qú
磳	zēng
磴	dèng
磵	jiàn
磶	xì
磷	lín
磸	dìng
磹	diàn
磺	huáng
磻	pán bō
磼	jí shé
磽	qiāo
磾	dī
磿	lì
礀	jiàn
礁	jiāo
礂	xī
礃	zhǎng
礄	qiáo
礅	dūn
礆	jiǎn
礇	yù
礈	zhuì
礉	hé qiāo qiào
礊	kè huò
礋	zé
礌	léi lěi
礍	jié
礎	chǔ
礏	yè
礐	què hú
礑	dàng
礒	yǐ
礓	jiāng
礔	pī
礕	pī
礖	yù
礗	pīn
礘	è qì
礙	ài
礚	kē
礛	jiān
礜	yù
礝	ruǎn
礞	méng
礟	pào
礠	cí
礡	bō
礢	yǎng
礣	miè
礤	cǎ
礥	xián xín
礦	kuàng
礧	léi lěi lèi
礨	lěi
礩	zhì
礪	lì
礫	lì
礬	fán
礭	què
礮	pào
礯	yīng
礰	lì
礱	lóng
礲	lóng
礳	mò
礴	bó
礵	shuāng
礶	guàn
礷	jiān
礸	cǎ
礹	yán yǎn
示	shì
礻	shì
礼	lǐ
礽	réng
社	shè
礿	yuè
祀	sì
祁	qí
祂	tā
祃	mà
祄	xiè
祅	yāo
祆	xiān
祇	zhǐ qí
祈	qí
祉	zhǐ
祊	bēng fāng
祋	duì
祌	zhòng
祍	rèn
祎	yī
祏	shí
祐	yòu
祑	zhì
祒	tiáo
祓	fú
祔	fù
祕	mì bì
祖	zǔ
祗	zhī
祘	suàn
祙	mèi
祚	zuò
祛	qū
祜	hù
祝	zhù
神	shén
祟	suì
祠	cí
祡	chái
祢	mí
祣	lǚ
祤	yǔ
祥	xiáng
祦	wú
祧	tiāo
票	piào piāo
祩	zhù
祪	guǐ
祫	xiá
祬	zhī
祭	jì zhài
祮	gào
祯	zhēn
祰	gào
祱	shuì lèi
祲	jìn
祳	shèn
祴	gāi
祵	kǔn
祶	dì
祷	dǎo
祸	huò
祹	táo
祺	qí
祻	gù
祼	guàn
祽	zuì
祾	líng
祿	lù
禀	bǐng
禁	jīn jìn
禂	dǎo
禃	zhí
禄	lù
禅	chán shàn
禆	bì pí
禇	chǔ
禈	huī
禉	yǒu
禊	xì
禋	yīn
禌	zī
禍	huò
禎	zhēn
福	fú
禐	yuàn
禑	xú
禒	xiǎn
禓	shāng yáng
禔	tí zhǐ
禕	yī
禖	méi
禗	sī
禘	dì
禙	bèi
禚	zhuó
禛	zhēn
禜	yíng
禝	jì
禞	gào
禟	táng
禠	sī
禡	mà
禢	tà
禣	fù
禤	xuān
禥	qí
禦	yù
禧	xǐ
禨	jī jì
禩	sì
禪	shàn chán
禫	dàn
禬	guì
禭	suì
禮	lǐ
禯	nóng
禰	mí
禱	dǎo
禲	lì
禳	ráng
禴	yuè
禵	tí
禶	zàn
禷	lèi
禸	róu
禹	yǔ
禺	yú yù ǒu
离	lí
禼	xiè
禽	qín
禾	hé
禿	tū
秀	xiù
私	sī
秂	rén
秃	tū
秄	zǐ zì
秅	chá ná
秆	gǎn
秇	yì zhí
秈	xiān
秉	bǐng
秊	nián
秋	qiū
秌	qiū
种	zhǒng zhòng chóng
秎	fèn
秏	hào mào
秐	yún
科	kē
秒	miǎo
秓	zhī
秔	jīng
秕	bǐ
秖	zhǐ
秗	yù
秘	mì bì
秙	kù kū
秚	bàn
秛	pī
秜	ní nì
秝	lì
秞	yóu
租	zū
秠	pī
秡	bó
秢	líng
秣	mò
秤	chèng
秥	nián
秦	qín
秧	yāng
秨	zuó
秩	zhì
秪	dī
秫	shú
秬	jù
秭	zǐ
秮	huó kuò
积	jī
称	chēng chèn chèng
秱	tóng
秲	shì zhì
秳	huó kuò
秴	huō
秵	yīn
秶	zī
秷	zhì
秸	jiē
秹	rěn
秺	dù
移	yí
秼	zhū
秽	huì
秾	nóng
秿	fù pū
稀	xī
稁	gǎo
稂	láng
稃	fū
稄	xùn zè
稅	shuì
稆	lǚ
稇	kǔn
稈	gǎn
稉	jīng
稊	tí
程	chéng
稌	tú shǔ
稍	shāo shào
税	shuì
稏	yà
稐	lǔn
稑	lù
稒	gū
稓	zuó
稔	rěn
稕	zhùn zhǔn
稖	bàng
稗	bài
稘	jī qí
稙	zhī
稚	zhì
稛	kǔn
稜	léng lēng líng
稝	péng
稞	kē
稟	bǐng
稠	chóu
稡	zuì zú sū
稢	yù
稣	sū
稤	lüè
稥	xiāng
稦	yī
稧	xì qiè
稨	biǎn
稩	jì
稪	fú
稫	pì bì
稬	nuò
稭	jiē
種	zhǒng zhòng
稯	zōng zǒng
稰	xǔ xū
稱	chēng chèn chèng
稲	dào
稳	wěn
稴	xián jiān liàn
稵	zī jiū
稶	yù
稷	jì
稸	xù
稹	zhěn
稺	zhì
稻	dào
稼	jià
稽	jī qǐ
稾	gǎo
稿	gǎo
穀	gǔ
穁	róng
穂	suì
穃	ròng
穄	jì
穅	kāng
穆	mù
穇	cǎn shān cēn
穈	mén méi
穉	zhì
穊	jì
穋	lù
穌	sū
積	jī
穎	yǐng
穏	wěn
穐	qiū
穑	sè
穒	kweok
穓	yì
穔	huáng
穕	qiè
穖	jǐ jì
穗	suì
穘	xiāo rào
穙	pú
穚	jiāo
穛	zhuō bó
穜	tóng zhǒng
穝	zuō
穞	lǔ
穟	suì
穠	nóng
穡	sè
穢	huì
穣	ráng
穤	nuò
穥	yǔ
穦	pīn
穧	jì
穨	tuí
穩	wěn
穪	chēng chèn chèng
穫	huò
穬	kuàng
穭	lǚ
穮	biāo pāo
穯	sè
穰	ráng
穱	zhuō jué
穲	lí
穳	cuán zàn
穴	xué
穵	wā
究	jiū
穷	qióng
穸	xī
穹	qióng
空	kōng kòng kǒng
穻	yū yǔ
穼	shēn
穽	jǐng
穾	yào
穿	chuān
窀	zhūn
突	tū
窂	láo
窃	qiè
窄	zhǎi
窅	yǎo
窆	biǎn
窇	báo
窈	yǎo
窉	bìng
窊	wā
窋	zhú kū
窌	jiào liáo liù
窍	qiào
窎	diào
窏	wū
窐	wā guī
窑	yáo
窒	zhì
窓	chuāng
窔	yào
窕	tiǎo yáo
窖	jiào
窗	chuāng
窘	jiǒng
窙	xiāo
窚	chéng
窛	kòu
窜	cuàn
窝	wō
窞	dàn
窟	kū
窠	kē
窡	zhuó
窢	huò
窣	sū
窤	guān
窥	kuī
窦	dòu
窧	zhuō
窨	yìn xūn
窩	wō
窪	wā
窫	yà yē
窬	yú
窭	jù
窮	qióng
窯	yáo
窰	yáo
窱	tiǎo
窲	cháo
窳	yǔ
窴	tián diān yǎn
窵	diào
窶	jù
窷	liào
窸	xī
窹	wù
窺	kuī
窻	chuāng
窼	chāo kē
窽	kuǎn cuàn
窾	kuǎn cuàn
窿	lóng
竀	chēng chèng
竁	cuì
竂	liáo
竃	zào
竄	cuàn
竅	qiào
竆	qióng
竇	dòu
竈	zào
竉	lǒng
竊	qiè
立	lì
竌	chù
竍	shí
竎	fù
竏	qiān
竐	chù qì
竑	hóng
竒	qí
竓	háo
竔	shēng
竕	fēn
竖	shù
竗	miào
竘	qǔ kǒu
站	zhàn
竚	zhù
竛	líng
竜	lóng
竝	bìng
竞	jìng
竟	jìng
章	zhāng
竡	bǎi
竢	sì
竣	jùn
竤	hóng
童	tóng
竦	sǒng
竧	jìng zhěn
竨	diào
竩	yì
竪	shù
竫	jìng
竬	qǔ
竭	jié
竮	píng
端	duān
竰	lí
竱	zhuǎn
竲	céng zēng
竳	dēng
竴	cūn
竵	wāi
競	jìng
竷	kǎn kàn
竸	jìng
竹	zhú
竺	zhú dǔ
竻	lè jīn
竼	péng
竽	yú
竾	chí
竿	gān
笀	máng
笁	zhú
笂	wán
笃	dǔ
笄	jī
笅	jiǎo jiào
笆	bā
笇	suàn
笈	jí
笉	qǐn
笊	zhào
笋	sǔn
笌	yá
笍	zhuì ruì
笎	yuán
笏	hù
笐	háng hàng
笑	xiào
笒	cén jìn hán
笓	pí bì
笔	bǐ
笕	jiǎn
笖	yǐ
笗	dōng
笘	shān
笙	shēng
笚	dā xiá nà
笛	dí
笜	zhú
笝	nà
笞	chī
笟	gū
笠	lì
笡	qiè
笢	mǐn
笣	bāo
笤	tiáo
笥	sì
符	fú
笧	cè
笨	bèn
笩	fá
笪	dá
笫	zǐ
第	dì
笭	líng
笮	zuó zé
笯	nú
笰	fú fèi
笱	gǒu
笲	fán
笳	jiā
笴	gě gǎn
笵	fàn
笶	shǐ
笷	mǎo
笸	pǒ
笹	tì
笺	jiān
笻	qióng
笼	lóng lǒng
笽	mǐn
笾	biān
笿	luò
筀	guì
筁	qū
筂	chí
筃	yīn
筄	yào
筅	xiǎn
筆	bǐ
筇	qióng
筈	kuò
等	děng
筊	jiǎo jiào
筋	jīn
筌	quán
筍	sǔn
筎	rú
筏	fá
筐	kuāng
筑	zhù zhú
筒	tǒng
筓	jī
答	dá dā
筕	háng
策	cè
筗	zhòng
筘	kòu
筙	lái
筚	bì
筛	shāi
筜	dāng
筝	zhēng
筞	cè
筟	fū
筠	yún jūn
筡	tú
筢	pá
筣	lí
筤	láng làng
筥	jǔ
筦	guǎn
筧	jiǎn
筨	hán
筩	tǒng
筪	xiá
筫	zhì zhǐ
筬	chéng
筭	suàn
筮	shì
筯	zhù
筰	zuó
筱	xiǎo
筲	shāo
筳	tíng
筴	cè jiā
筵	yán
筶	gào
筷	kuài
筸	gān
筹	chóu
筺	kuāng
筻	gàng
筼	yún
筽	o
签	qiān
筿	xiǎo
简	jiǎn
箁	póu bù fú pú
箂	lái
箃	zōu
箄	pái bēi
箅	bì
箆	bì
箇	gè
箈	tái chí
箉	guǎi dài
箊	yū
箋	jiān
箌	zhào dào
箍	gū
箎	chí
箏	zhēng
箐	qìng jīng
箑	shà
箒	zhǒu
箓	lù
箔	bó
箕	jī
箖	lín lǐn
算	suàn
箘	jùn qūn
箙	fú
箚	zhá
箛	gū
箜	kōng
箝	qián
箞	quān
箟	jùn
箠	chuí
管	guǎn
箢	wǎn yuān
箣	cè
箤	zú
箥	pǒ
箦	zé
箧	qiè
箨	tuò
箩	luó
箪	dān
箫	xiāo
箬	ruò
箭	jiàn
箮	xuān
箯	biān
箰	sǔn
箱	xiāng
箲	xiǎn
箳	píng
箴	zhēn
箵	xīng
箶	hú
箷	shī yí
箸	zhù
箹	yuē yào chuò
箺	chūn
箻	lǜ
箼	wū
箽	dǒng
箾	shuò xiāo qiào
箿	jí
節	jié
篁	huáng
篂	xīng
篃	mèi
範	fàn
篅	chuán
篆	zhuàn
篇	piān
篈	fēng
築	zhù zhú
篊	hóng
篋	qiè
篌	hóu
篍	qiū
篎	miǎo
篏	qiàn
篐	gū
篑	kuì
篒	yì
篓	lǒu
篔	yún
篕	hé
篖	táng
篗	yuè
篘	chōu
篙	gāo
篚	fěi
篛	ruò
篜	zhēng
篝	gōu
篞	niè
篟	qiàn
篠	xiǎo
篡	cuàn
篢	gōng gǎn lǒng
篣	péng páng
篤	dǔ
篥	lì
篦	bì
篧	zhuó huò
篨	chú
篩	shāi
篪	chí
篫	zhù
篬	qiāng cāng
篭	lóng lǒng
篮	lán
篯	jiǎn jiān
篰	bù
篱	lí
篲	huì
篳	bì
篴	zhú dí
篵	cōng
篶	yān
篷	péng
篸	cēn zān cǎn
篹	zhuàn zuàn suǎn
篺	pí
篻	piǎo biāo
篼	dōu
篽	yù
篾	miè
篿	tuán zhuān
簀	zé
簁	shāi
簂	guó guì
簃	yí
簄	hù
簅	chǎn
簆	kòu
簇	cù
簈	píng
簉	zào
簊	jī
簋	guǐ
簌	sù
簍	lǒu
簎	cè jí
簏	lù
簐	niǎn
簑	suō
簒	cuàn
簓	diāo
簔	suō
簕	lè
簖	duàn
簗	zhù
簘	xiāo
簙	bó
簚	mì miè
簛	shāi sī
簜	dàng
簝	liáo
簞	dān
簟	diàn
簠	fǔ
簡	jiǎn
簢	mǐn
簣	kuì
簤	dài
簥	jiāo
簦	dēng
簧	huáng
簨	sǔn zhuàn
簩	láo
簪	zān
簫	xiāo
簬	lù
簭	shì
簮	zān
簯	qí
簰	pái
簱	qí
簲	pái
簳	gǎn gàn
簴	jù
簵	lù
簶	lù
簷	yán
簸	bò bǒ
簹	dāng
簺	sài
簻	zhuā
簼	gōu
簽	qiān
簾	lián
簿	bù bó
籀	zhòu
籁	lài
籂	shi
籃	lán
籄	kuì
籅	yú
籆	yuè
籇	háo
籈	zhēn jiān
籉	tái
籊	tì
籋	niè
籌	chóu
籍	jí
籎	yí
籏	qí
籐	téng
籑	zhuàn
籒	zhòu
籓	fān pān biān
籔	sǒu shǔ
籕	zhòu
籖	qiān
籗	zhuó
籘	téng
籙	lù
籚	lú
籛	jiǎn jiān
籜	tuò
籝	yíng
籞	yù
籟	lài
籠	lóng lǒng
籡	qiè
籢	lián
籣	lán
籤	qiān
籥	yuè
籦	zhōng
籧	qú
籨	lián
籩	biān
籪	duàn
籫	zuǎn
籬	lí
籭	shāi
籮	luó
籯	yíng
籰	yuè
籱	zhuó
籲	yù
米	mǐ
籴	dí
籵	fán
籶	shēn
籷	zhé
籸	shēn
籹	nǚ
籺	hé
类	lèi
籼	xiān
籽	zǐ
籾	ní
籿	cùn
粀	zhàng
粁	qiān
粂	zhāi
粃	bǐ
粄	bǎn
粅	wù
粆	shā chǎo
粇	kāng jīng
粈	róu
粉	fěn
粊	bì
粋	cuì
粌	yǐn
粍	zhé
粎	mǐ
粏	tà
粐	hù
粑	bā
粒	lì
粓	gān
粔	jù
粕	pò
粖	yù
粗	cū
粘	nián zhān
粙	zhòu
粚	chī
粛	sù
粜	tiào
粝	lì
粞	xī
粟	sù
粠	hóng
粡	tóng
粢	zī cí
粣	cè sè
粤	yuè
粥	zhōu yù
粦	lín
粧	zhuāng
粨	bǎi
粩	lāo
粪	fèn
粫	ér
粬	qū
粭	hé
粮	liáng
粯	xiàn
粰	fū fú
粱	liáng
粲	càn
粳	jīng
粴	lǐ
粵	yuè
粶	lù
粷	jú
粸	qí
粹	cuì
粺	bài
粻	zhāng
粼	lín
粽	zòng
精	jīng
粿	guǒ
糀	huā
糁	sǎn shēn
糂	shēn
糃	táng
糄	biān biǎn
糅	róu
糆	miàn
糇	hóu
糈	xǔ
糉	zòng
糊	hū hú hù
糋	jiàn
糌	zān
糍	cí
糎	lí
糏	xiè
糐	fū
糑	nuò
糒	bèi
糓	gǔ gòu
糔	xiǔ
糕	gāo
糖	táng
糗	qiǔ
糘	jiā
糙	cāo
糚	zhuāng
糛	táng
糜	mí méi
糝	sǎn shēn
糞	fèn
糟	zāo
糠	kāng
糡	jiàng
糢	mó
糣	sǎn shēn
糤	sǎn
糥	nuò
糦	xī
糧	liáng
糨	jiàng
糩	kuài
糪	bó
糫	huán
糬	shǔ
糭	zòng
糮	xiàn
糯	nuò
糰	tuán
糱	niè
糲	lì
糳	zuò
糴	dí
糵	niè
糶	tiào
糷	làn
糸	mì sī
糹	sī
糺	jiū jiǔ
系	xì jì
糼	gōng
糽	zhēng zhěng
糾	jiū
糿	gōng
紀	jì
紁	chà chǎ
紂	zhòu
紃	xún
約	yuē yāo
紅	hóng gōng
紆	yū
紇	hé gē
紈	wán
紉	rèn
紊	wěn
紋	wén wèn
紌	qiú
納	nà
紎	zī
紏	tǒu
紐	niǔ
紑	fóu
紒	jì jié jiè
紓	shū
純	chún
紕	pī pí bǐ
紖	zhèn
紗	shā
紘	hóng
紙	zhǐ
級	jí
紛	fēn
紜	yún
紝	rèn
紞	dǎn
紟	jīn jìn
素	sù
紡	fǎng
索	suǒ
紣	cuì
紤	jiǔ
紥	zhā zā
紦	hā
紧	jǐn
紨	fū fù
紩	zhì
紪	qī
紫	zǐ
紬	chōu chóu
紭	hóng
紮	zhā zā
累	léi lěi lèi
細	xì
紱	fú
紲	xiè
紳	shēn
紴	bō bì
紵	zhù
紶	qū qǔ
紷	líng
紸	zhù
紹	shào
紺	gàn
紻	yǎng
紼	fú
紽	tuó
紾	zhěn tiǎn
紿	dài
絀	chù
絁	shī
終	zhōng
絃	xián
組	zǔ
絅	jiōng jiǒng
絆	bàn
絇	qú
絈	mò
絉	shù
絊	zuì
絋	kuàng
経	jīng
絍	rèn
絎	háng
絏	xiè
結	jié jiē
絑	zhū
絒	chóu
絓	guà kuā
絔	bǎi mò
絕	jué
絖	kuàng
絗	hú
絘	cì
絙	huán gēng
絚	gēng
絛	tāo
絜	xié jié
絝	kù
絞	jiǎo
絟	quán shuān
絠	gǎi ǎi
絡	luò lào
絢	xuàn
絣	bēng bīng pēng
絤	xiàn
絥	fú
給	gěi jǐ
絧	tōng tóng dòng
絨	róng
絩	tiào diào dào
絪	yīn
絫	lěi lèi léi
絬	xiè
絭	juàn
絮	xù
絯	gāi hài
絰	dié
統	tǒng
絲	sī
絳	jiàng
絴	xiáng
絵	huì
絶	jué
絷	zhí
絸	jiǎn
絹	juàn
絺	chī zhǐ
絻	miǎn wèn mán wàn
絼	zhèn
絽	lǚ
絾	chéng
絿	qiú
綀	shū
綁	bǎng
綂	tǒng
綃	xiāo
綄	huán huàn wàn
綅	qīn xiān
綆	gěng
綇	xū
綈	tí tì
綉	xiù
綊	xié
綋	hóng
綌	xì
綍	fú
綎	tīng
綏	suí
綐	duì
綑	kǔn
綒	fū
經	jīng
綔	hù
綕	zhī
綖	yán xiàn
綗	jiǒng
綘	féng
継	jì
続	xù
綛	rěn
綜	zōng zèng
綝	lín chēn
綞	duǒ
綟	lì liè
綠	lǜ
綡	jīng
綢	chóu
綣	quǎn
綤	shào
綥	qí
綦	qí
綧	zhǔn zhùn
綨	jī qí
綩	wǎn
綪	qiàn qīng zhēng
綫	xiàn
綬	shòu
維	wéi
綮	qìng qǐ
綯	táo
綰	wǎn
綱	gāng
網	wǎng
綳	bēng běng bèng
綴	zhuì
綵	cǎi
綶	guǒ
綷	cuì
綸	lún guān
綹	liǔ
綺	qǐ
綻	zhàn
綼	bì
綽	chuò chāo
綾	líng
綿	mián
緀	qī
緁	jī
緂	tián tǎn chān
緃	zōng
緄	gǔn
緅	zōu
緆	xī
緇	zī
緈	xìng
緉	liǎng
緊	jǐn
緋	fēi
緌	ruí
緍	mín
緎	yù
総	zǒng
緐	fán
緑	lǜ lù
緒	xù
緓	yīng
緔	shàng
緕	zī
緖	xù
緗	xiāng
緘	jiān
緙	kè
線	xiàn
緛	ruǎn ruàn
緜	mián
緝	jī qī
緞	duàn
緟	chóng zhòng
締	dì
緡	mín
緢	miáo máo
緣	yuán
緤	xiè yè
緥	bǎo
緦	sī
緧	qiū
編	biān
緩	huǎn
緪	gēng gèng
緫	zǒng
緬	miǎn
緭	wèi
緮	fù
緯	wěi
緰	tōu xū shū
緱	gōu
緲	miǎo
緳	xié
練	liàn
緵	zōng zòng
緶	biàn pián
緷	gǔn yùn
緸	yīn
緹	tí
緺	guā wō
緻	zhì
緼	yùn yūn wēn
緽	chēng
緾	chán
緿	dài
縀	xié
縁	yuán
縂	zǒng
縃	xū
縄	shéng
縅	wēi
縆	gēng gèng
縇	seon
縈	yíng
縉	jìn
縊	yì
縋	zhuì
縌	nì
縍	bāng bàng
縎	gǔ hú
縏	pán
縐	zhòu
縑	jiān
縒	cī cuò suǒ
縓	quán
縔	shuǎng
縕	yùn yūn wēn
縖	xiá
縗	cuī suī shuāi
縘	xì
縙	róng rǒng ròng
縚	tāo
縛	fù
縜	yún
縝	zhěn
縞	gǎo
縟	rù
縠	hú
縡	zài zēng
縢	téng
縣	xiàn xuán
縤	sù
縥	zhěn
縦	zòng
縧	tāo
縨	huǎng
縩	cài
縪	bì
縫	féng fèng
縬	cù
縭	lí
縮	suō sù
縯	yǎn yǐn
縰	xǐ
縱	zòng zǒng
縲	léi
縳	zhuàn juàn
縴	qiàn
縵	màn
縶	zhí
縷	lǚ
縸	mù mò
縹	piǎo piāo
縺	lián
縻	mí
縼	xuàn
總	zǒng
績	jì
縿	shān
繀	suì
繁	fán pó
繂	lǜ
繃	bēng běng bèng
繄	yī
繅	sāo
繆	móu miù miào mù liǎo
繇	yáo yóu zhòu
繈	qiǎng
繉	shéng hún
繊	xiān
繋	jì
繌	zōng zòng
繍	xiù
繎	rán
繏	xuàn
繐	suì
繑	qiāo
繒	zēng zèng
繓	zuǒ
織	zhī zhì
繕	shàn
繖	sǎn
繗	lín
繘	jú jué
繙	fān
繚	liáo
繛	chuō chuò
繜	zūn zǔn
繝	jiàn
繞	rào
繟	chǎn chán
繠	ruǐ
繡	xiù
繢	huì huí
繣	huà
繤	zuǎn
繥	xī
繦	qiǎng
繧	wén
繨	da
繩	shéng
繪	huì
繫	xì jì
繬	sè
繭	jiǎn
繮	jiāng
繯	huán
繰	qiāo sāo
繱	cōng
繲	xiè
繳	jiǎo zhuó
繴	bì
繵	dàn tán chán
繶	yì
繷	nǒng
繸	suì
繹	yì
繺	shā
繻	rú xū
繼	jì
繽	bīn
繾	qiǎn
繿	lán
纀	pú fú
纁	xūn
纂	zuǎn
纃	zī
纄	péng
纅	yào lì
纆	mò
纇	lèi
纈	xiè
纉	zuǎn
纊	kuàng
纋	yōu
續	xù
纍	léi
纎	xiān
纏	chán
纐	jiǎo
纑	lú
纒	chán
纓	yīng
纔	cái
纕	xiāng rǎng
纖	xiān
纗	zuī
纘	zuǎn
纙	luò
纚	lí xǐ lǐ sǎ
纛	dào
纜	lǎn
纝	léi
纞	liàn
纟	sī
纠	jiū
纡	yū
红	hóng gōng
纣	zhòu
纤	xiān qiàn
纥	hé gē
约	yuē yāo
级	jí
纨	wán
纩	kuàng
纪	jì jǐ
纫	rèn
纬	wěi
纭	yún
纮	hóng
纯	chún
纰	pī pí bǐ
纱	shā
纲	gāng
纳	nà
纴	rèn
纵	zòng zǒng
纶	lún guān
纷	fēn
纸	zhǐ
纹	wén wèn
纺	fǎng
纻	zhù
纼	zhèn
纽	niǔ
纾	shū
线	xiàn
绀	gàn
绁	xiè
绂	fú
练	liàn
组	zǔ
绅	shēn
细	xì
织	zhī zhì
终	zhōng
绉	zhòu
绊	bàn
绋	fú
绌	chù
绍	shào
绎	yì
经	jīng
绐	dài
绑	bǎng
绒	róng
结	jié jiē
绔	kù
绕	rào
绖	dié
绗	háng
绘	huì
给	gěi jǐ
绚	xuàn
绛	jiàng
络	luò lào
绝	jué
绞	jiǎo
统	tǒng
绠	gěng
绡	xiāo
绢	juàn
绣	xiù
绤	xì
绥	suí
绦	tāo
继	jì
绨	tí tì
绩	jì
绪	xù
绫	líng
绬	yīng
续	xù
绮	qǐ
绯	fēi
绰	chuò chāo
绱	shàng
绲	gǔn
绳	shéng
维	wéi
绵	mián
绶	shòu
绷	bēng běng bèng
绸	chóu
绹	táo
绺	liǔ
绻	quǎn
综	zōng zèng
绽	zhàn
绾	wǎn
绿	lǜ lù
缀	zhuì
缁	zī
缂	kè
缃	xiāng
缄	jiān
缅	miǎn
缆	lǎn
缇	tí
缈	miǎo
缉	jī qī
缊	yùn yūn wēn
缋	huì huí
缌	sī
缍	duǒ
缎	duàn
缏	biàn pián
缐	xiàn
缑	gōu
缒	zhuì
缓	huǎn
缔	dì
缕	lǚ
编	biān
缗	mín
缘	yuán
缙	jìn
缚	fù
缛	rù
缜	zhěn
缝	féng fèng
缞	cuī suī shuāi
缟	gǎo
缠	chán
缡	lí
缢	yì
缣	jiān
缤	bīn
缥	piǎo piāo
缦	màn
缧	léi
缨	yīng
缩	suō sù
缪	móu miù miào mù liǎo
缫	sāo
缬	xié
缭	liáo
缮	shàn
缯	zēng zèng
缰	jiāng
缱	qiǎn
缲	qiāo sāo
缳	huán
缴	jiǎo zhuó
缵	zuǎn
缶	fǒu
缷	xiè
缸	gāng
缹	fǒu
缺	quē
缻	fǒu
缼	quē
缽	bō
缾	píng
缿	xiàng
罀	zhào
罁	gāng
罂	yīng
罃	yīng
罄	qìng
罅	xià
罆	guàn
罇	zūn
罈	tán
罉	chēng
罊	qì
罋	wèng
罌	yīng
罍	léi
罎	tán
罏	lú
罐	guàn
网	wǎng
罒	wǎng
罓	wǎng
罔	wǎng
罕	hǎn
罖	wǎng ra
罗	luó
罘	fú
罙	shēn
罚	fá
罛	gū
罜	zhǔ
罝	jū
罞	máo
罟	gǔ
罠	mín
罡	gāng
罢	bà ba pí
罣	guà
罤	tí
罥	juàn
罦	fú
罧	shēn
罨	yǎn
罩	zhào
罪	zuì
罫	guǎi guà
罬	zhuó
罭	yù
置	zhì
罯	ǎn
罰	fá
罱	lǎn
署	shǔ
罳	sī
罴	pí
罵	mà
罶	liǔ
罷	bà ba pí
罸	fá
罹	lí
罺	cháo
罻	wèi
罼	bì
罽	jì
罾	zēng
罿	chōng
羀	liǔ
羁	jī
羂	juàn
羃	mì
羄	zhào
羅	luó
羆	pí
羇	jī
羈	jī
羉	luán
羊	yáng xiáng
羋	mǐ
羌	qiāng
羍	dá
美	měi
羏	yáng xiáng
羐	líng
羑	yǒu
羒	fén
羓	bā
羔	gāo
羕	yàng
羖	gǔ
羗	qiāng
羘	zāng
羙	měi gāo
羚	líng
羛	yì xī
羜	zhù
羝	dī
羞	xiū
羟	qiǎng
羠	yí
羡	xiàn
羢	róng
羣	qún
群	qún
羥	qiǎng
羦	huán
羧	suō
羨	xiàn
義	yì
羪	yōu
