𠀀	hē
𠮰	pǐn
𠮱	xū
𠮳	yīng
𠮴	yāng
𠮵	màng
𠮶	gǎ gě
𠮷	jí
𠮹	cái
𠮽	lòng
𠮾	ǹ
𠮿	sa san
𠯀	chuān
𠯁	zú
𠯂	cí
𠯃	wǔ
𠯄	rèn
𠯈	dài
𠯉	jí
𠯋	yǐ
𠯍	rán
𠯐	huò
𠯑	guā
𠯓	zhé
𠯔	pì
𠯗	zā
𠯘	bàn
𠯙	jié
𠯜	hōu xǔ
𠯟	xiàn
𠯠	huī
𠯣	zú
𠯩	zhā
𠯪	dāi dǎi è
𠯫	gē
𠯭	pì
𠯯	piàn
𠯰	shí
𠯱	liǎng
𠯲	yuè
𠯳	hù wěn
𠯴	biàn
𠯷	réng
𠯸	tīng
𠯹	réng
𠯿	lù liū
𠰄	yī
𠰅	zhī
𠰇	jīn
𠰈	wēng
𠰉	chāo
𠰋	qiū
𠰍	zhǔ zhù
𠰏	zhá
𠰐	pǒ
𠰑	àn
𠰓	hé
𠰕	chū
𠰖	yán
𠰚	shì
𠰛	hù gào
𠰜	è
𠰢	bā
𠰳	bǐng
𠰴	shí
𠰹	tuō
𠰺	dài
𠰻	wài wai
𠰼	pō
𠰽	rǒng
𠰾	jū
𠱀	bō
𠱃	āo
𠱐	yǔ
𠱑	dōu
𠱓	guǐ
𠱔	shòu
𠱗	suō
𠱘	nì
𠱙	zhōu yù jì cù
𠱚	lòng
𠱛	bǐng
𠱜	zùn
𠱝	yè
𠱞	rǎn
𠱠	líng
𠱡	sà shài
𠱤	lěi
𠱥	è huì zá
𠱧	zhòng
𠱨	jǐ
𠱫	è
𠱯	zuò
𠱲	nà
𠱳	yǔn
𠲊	xiè
𠲋	zuǐ
𠲌	shù
𠲍	diū
𠲎	fèi fá wa
𠲏	rěn
𠲑	bāng
𠲒	hán
𠲓	hóng
𠲔	yī
𠲖	yī
𠲙	kē
𠲚	yì
𠲛	huí
𠲜	zhēng
𠲥	lǐ
𠲮	jìng
𠲱	gé
𠲴	nóu
𠲵	qiè jié
𠲷	dié
𠲹	jì
𠲺	yì
𠲻	yí
𠲽	fú
𠲾	shuò
𠲿	shuò
𠳀	yǒng
𠳁	kěn
𠳂	huá
𠳃	hòng
𠳆	zāi
𠳇	hé
𠳊	hē
𠳋	qiǎn
𠳌	qià
𠳎	sì
𠳐	bāng
𠳬	jīng
𠳭	kè
𠳳	āi
𠳴	lóu
𠳶	tū
𠳹	chuáng
𠳼	sòng
𠳽	chéng
𠳾	hǎn
𠳿	wēi
𠴂	nǔ
𠴄	jiǔ
𠴇	bīn
𠴡	xiào
𠴢	shēng
𠴣	hǒu
𠴦	zhù
𠴨	guān
𠴩	jī qǐ
𠴫	jì cù yù zhù
𠴭	xī
𠴯	shè
𠴰	ǒu
𠴱	hú
𠴲	tà
𠴳	xiáo
𠴵	zào
𠴸	bò
𠴹	qì
𠴺	wā
𠴻	tuō
𠴼	dào
𠴾	nà
𠵓	xuán
𠵘	mèn
𠵠	zhāi
𠵣	yà
𠵦	wǔ
𠵧	zhén chún
𠵨	de
𠵩	hē
𠵫	āng
𠵬	pí
𠵭	sè
𠵮	fěn
𠵯	guā
𠵳	pǒ
𠵷	xuàn
𠵸	hān mí
𠵹	gāng
𠵺	bā
𠵻	zōng
𠵼	mèng
𠶜	zhì
𠶧	diān
𠶨	xī
𠶫	dà
𠶬	nàng
𠶰	diāo
𠶱	luò
𠶲	kè
𠶷	yì
𠶸	jué
𠶹	hé
𠶻	jí
𠶾	hè
𠶿	niè zá
𠷀	rǔn
𠷁	qián jiān
𠷂	dài
𠷃	shāo sù shòu
𠷄	kè
𠷅	zhú
𠷇	shī
𠷈	lǜ liè
𠷉	jiā
𠷊	pián
𠷋	hòu
𠷌	jī zé
𠷍	tà
𠷎	chóu shòu
𠷏	wō
𠷐	jìng jiàng
𠷑	pō
𠷒	zhāi
𠷓	xīn
𠷖	biàn
𠷙	xù
𠷞	gū
𠷟	jiè
𠷠	qǐ
𠷢	xián
𠷨	biǎn
𠷸	é yóng
𠷺	bó
𠷻	piāo
𠷿	zǎ
𠸁	pài
𠸂	tū
𠸄	yīng
𠸍	xiào
𠸮	xiǎng
𠸱	nuò
𠸲	gē
𠸳	bó
𠸴	xiè
𠸸	zhēn chún
𠸹	yú
𠸺	nì
𠹀	xùn
𠹁	wà
𠹃	àng
